,Date,Price,Return
0,2021-01-04,31971.9140625,
1,2021-01-05,33992.4296875,0.06319658000613332
2,2021-01-06,36824.36328125,0.08331071417326147
3,2021-01-07,39371.04296875,0.0691574669750421
4,2021-01-08,40797.609375,0.03623389929960223
5,2021-01-11,35566.65625,-0.1282171481401905
6,2021-01-12,33922.9609375,-0.04621450217153883
7,2021-01-13,37316.359375,0.10003249550509553
8,2021-01-14,39187.328125,0.050138030111625806
9,2021-01-15,36825.3671875,-0.06027358971670131
10,2021-01-19,36069.8046875,-0.02051744646979292
11,2021-01-20,35547.75,-0.014473454791977794
12,2021-01-21,30825.69921875,-0.13283684006020072
13,2021-01-22,33005.76171875,0.07072224005462163
14,2021-01-25,32366.392578125,-0.0193714402374112
15,2021-01-26,32569.849609375,0.006286058316783426
16,2021-01-27,30432.546875,-0.06562212475675026
17,2021-01-28,31649.60546875,0.039992005885968095
18,2021-01-29,34316.38671875,0.08425954164367422
19,2021-02-01,33537.17578125,-0.022706672001520774
20,2021-02-02,35510.2890625,0.0588336147957077
21,2021-02-03,37472.08984375,0.05524598174340756
22,2021-02-04,36926.06640625,-0.01457147012020926
23,2021-02-05,38144.30859375,0.03299138809147036
24,2021-02-08,46196.46484375,0.2110971871520397
25,2021-02-09,46481.10546875,0.006161523959955337
26,2021-02-10,44918.18359375,-0.03362488605290977
27,2021-02-11,47909.33203125,0.06659103726349687
28,2021-02-12,47504.8515625,-0.008442623839676328
29,2021-02-16,49199.87109375,0.03568097732123084
30,2021-02-17,52149.0078125,0.05994196027730319
31,2021-02-18,51679.796875,-0.008997504596578944
32,2021-02-19,55888.1328125,0.08143096900475191
33,2021-02-22,54207.3203125,-0.030074586775675347
34,2021-02-23,48824.42578125,-0.09930198541853996
35,2021-02-24,49705.33203125,0.018042326886684935
36,2021-02-25,47093.8515625,-0.05253924200945179
37,2021-02-26,46339.76171875,-0.016012490351298182
38,2021-03-01,49631.2421875,0.07102929205219026
39,2021-03-02,48378.98828125,-0.025231161886280364
40,2021-03-03,50538.2421875,0.044632059969861984
41,2021-03-04,48561.16796875,-0.039120359814156826
42,2021-03-05,48927.3046875,0.007539701660092189
43,2021-03-08,52246.5234375,0.06783980379054065
44,2021-03-09,54824.1171875,0.0493352204206171
45,2021-03-10,56008.55078125,0.021604243798385377
46,2021-03-11,57805.12109375,0.03207671484871625
47,2021-03-12,57332.08984375,-0.008183206626845818
48,2021-03-15,55907.19921875,-0.02485328249647493
49,2021-03-16,56804.90234375,0.016057021949669244
50,2021-03-17,58870.89453125,0.03636996284225304
51,2021-03-18,57858.921875,-0.017189693893861626
52,2021-03-19,58346.65234375,0.008429650137686739
53,2021-03-22,54529.14453125,-0.06542805215300283
54,2021-03-23,54738.9453125,0.003847498123315793
55,2021-03-24,52774.265625,-0.0358918074925231
56,2021-03-25,51704.16015625,-0.020277031922222983
57,2021-03-26,55137.3125,0.0663999247521865
58,2021-03-29,57750.19921875,0.047388720999958056
59,2021-03-30,58917.69140625,0.020216245195582728
60,2021-03-31,58918.83203125,1.9359634988668314e-05
61,2021-04-01,59095.80859375,0.0030037350775407984
62,2021-04-05,59057.87890625,-0.0006418338017970949
63,2021-04-06,58192.359375,-0.014655445594718158
64,2021-04-07,56048.9375,-0.036833390122360886
65,2021-04-08,58323.953125,0.04058980823677523
66,2021-04-09,58245.00390625,-0.0013536328475677204
67,2021-04-12,59893.453125,0.028301984860423585
68,2021-04-13,63503.45703125,0.060273764792218264
69,2021-04-14,63109.6953125,-0.006200634377373033
70,2021-04-15,63314.01171875,0.0032374804732979196
71,2021-04-16,61572.7890625,-0.027501379378466223
72,2021-04-19,55724.265625,-0.09498552082094909
73,2021-04-20,56473.03125,0.01343697609294425
74,2021-04-21,53906.08984375,-0.045454287638402625
75,2021-04-22,51762.2734375,-0.03976946598174676
76,2021-04-23,51093.65234375,-0.01291715083877299
77,2021-04-26,54021.75390625,0.05730851932056445
78,2021-04-27,55033.1171875,0.01872140773150631
79,2021-04-28,54824.703125,-0.0037870662821065555
80,2021-04-29,53555.109375,-0.023157330138301593
81,2021-04-30,57750.17578125,0.07833176806484675
82,2021-05-03,57200.29296875,-0.009521751320426852
83,2021-05-04,53333.5390625,-0.06760024652955025
84,2021-05-05,57424.0078125,0.07669599321369805
85,2021-05-06,56396.515625,-0.017893076896599622
86,2021-05-07,57356.40234375,0.017020319573156254
87,2021-05-10,55859.796875,-0.026093084775096285
88,2021-05-11,56704.57421875,0.015123172496319608
89,2021-05-12,49150.53515625,-0.13321745496860063
90,2021-05-13,49716.19140625,0.011508648851976354
91,2021-05-14,49880.53515625,0.003305638371553533
92,2021-05-17,43537.51171875,-0.12716430201942658
93,2021-05-18,42909.40234375,-0.014426855146374764
94,2021-05-19,37002.44140625,-0.1376612260916373
95,2021-05-20,40782.73828125,0.10216344466291023
96,2021-05-21,37304.69140625,-0.08528232829817226
97,2021-05-24,38705.98046875,0.03756334685200557
98,2021-05-25,38402.22265625,-0.007847826326095642
99,2021-05-26,39294.19921875,0.023227211885217012
100,2021-05-27,38436.96875,-0.021815700174415455
101,2021-05-28,35697.60546875,-0.07126897282320162
102,2021-06-01,36684.92578125,0.02765788627935588
103,2021-06-02,37575.1796875,0.024267567326114556
104,2021-06-03,39208.765625,0.043475133082156336
105,2021-06-04,36894.40625,-0.05902658087058817
106,2021-06-07,33560.70703125,-0.09035784980954938
107,2021-06-08,33472.6328125,-0.0026243254847995254
108,2021-06-09,37345.12109375,0.11569117681725533
109,2021-06-10,36702.59765625,-0.017205016845092822
110,2021-06-11,37334.3984375,0.0172140617175747
111,2021-06-14,40218.4765625,0.0772498887273654
112,2021-06-15,40406.26953125,0.00466932078986551
113,2021-06-16,38347.0625,-0.0509625623730847
114,2021-06-17,38053.50390625,-0.007655308506355605
115,2021-06-18,35787.24609375,-0.05955451088244687
116,2021-06-21,31676.693359375,-0.11486082845287389
117,2021-06-22,32505.66015625,0.02616961270137307
118,2021-06-23,33723.02734375,0.037450929519606505
119,2021-06-24,34662.4375,0.02785663774115772
120,2021-06-25,31637.779296875,-0.08726040120880131
121,2021-06-28,34434.3359375,0.08839294990913689
122,2021-06-29,35867.77734375,0.04162825758718757
123,2021-06-30,35040.8359375,-0.02305527321430458
124,2021-07-01,33572.1171875,-0.04191448950075437
125,2021-07-02,33897.046875,0.009678558122660849
126,2021-07-06,34235.1953125,0.009975749178002693
127,2021-07-07,33855.328125,-0.01109580897764887
128,2021-07-08,32877.37109375,-0.028886355129662474
129,2021-07-09,33798.01171875,0.028002257916996717
130,2021-07-12,33155.84765625,-0.01900005443644926
131,2021-07-13,32702.025390625,-0.013687548281983158
132,2021-07-14,32822.34765625,0.0036793520947939183
133,2021-07-15,31780.73046875,-0.031734999531688166
134,2021-07-16,31421.5390625,-0.011302175908234489
135,2021-07-19,30817.83203125,-0.019213159166047773
136,2021-07-20,29807.34765625,-0.032788950695017915
137,2021-07-21,32110.693359375,0.07727442675168834
138,2021-07-22,32313.10546875,0.006303573302191059
139,2021-07-23,33581.55078125,0.03925482537500809
140,2021-07-26,37337.53515625,0.1118466624566107
141,2021-07-27,39406.94140625,0.05542428661506324
142,2021-07-28,39995.90625,0.014945713184849949
143,2021-07-29,40008.421875,0.0003129226506775303
144,2021-07-30,42235.546875,0.05566640461246636
145,2021-08-02,39201.9453125,-0.07182579099729013
146,2021-08-03,38152.98046875,-0.026757979365261888
147,2021-08-04,39747.50390625,0.04179289318710049
148,2021-08-05,40869.5546875,0.02822946527400846
149,2021-08-06,42816.5,0.047638035877485975
150,2021-08-09,46365.40234375,0.08288632521924959
151,2021-08-10,45585.03125,-0.01683089230983872
152,2021-08-11,45593.63671875,0.0001887783887391763
153,2021-08-12,44428.2890625,-0.025559436362547507
154,2021-08-13,47793.3203125,0.07574073458615982
155,2021-08-16,46004.484375,-0.037428576332499394
156,2021-08-17,44695.359375,-0.028456465011732893
157,2021-08-18,44801.1875,0.0023677653895136626
158,2021-08-19,46717.578125,0.04277544261522086
159,2021-08-20,49339.17578125,0.056115872471717516
160,2021-08-23,49546.1484375,0.004194894887738564
161,2021-08-24,47706.1171875,-0.037137725293038826
162,2021-08-25,48960.7890625,0.026300020814285643
163,2021-08-26,46942.21875,-0.04122830434622349
164,2021-08-27,49058.66796875,0.04508626296557403
165,2021-08-30,47054.984375,-0.0408426008432665
166,2021-08-31,47166.6875,0.002373885072616178
167,2021-09-01,48847.02734375,0.03562556399047527
168,2021-09-02,49327.72265625,0.009840830417728689
169,2021-09-03,50025.375,0.014143210068944971
170,2021-09-07,46811.12890625,-0.06425231382573345
171,2021-09-08,46091.390625,-0.015375366885328501
172,2021-09-09,46391.421875,0.006509485739778545
173,2021-09-10,44883.91015625,-0.03249548424732347
174,2021-09-13,44963.07421875,0.0017637514696115786
175,2021-09-14,47092.4921875,0.04735926103251218
176,2021-09-15,48176.34765625,0.023015462091804377
177,2021-09-16,47783.359375,-0.008157286726135143
178,2021-09-17,47267.51953125,-0.010795386730801616
179,2021-09-20,42843.80078125,-0.093588975979062
180,2021-09-21,40693.67578125,-0.050185206746199154
181,2021-09-22,43574.5078125,0.07079311406361995
182,2021-09-23,44895.09765625,0.0303064775724482
183,2021-09-24,42839.75,-0.04578111561282834
184,2021-09-27,42235.73046875,-0.014099511114093802
185,2021-09-28,41034.54296875,-0.028440078735911825
186,2021-09-29,41564.36328125,0.01291156850226129
187,2021-09-30,43790.89453125,0.05356827518164834
188,2021-10-01,48116.94140625,0.09878873042688936
189,2021-10-04,49112.90234375,0.02069875824174129
190,2021-10-05,51514.8125,0.04890588911725478
191,2021-10-06,55361.44921875,0.07467049829114684
192,2021-10-07,53805.984375,-0.02809653406297012
193,2021-10-08,53967.84765625,0.003008276553810377
194,2021-10-11,57484.7890625,0.06516734609561002
195,2021-10-12,56041.05859375,-0.02511499985118346
196,2021-10-13,57401.09765625,0.024268618342118162
197,2021-10-14,57321.5234375,-0.0013862839213726382
198,2021-10-15,61593.94921875,0.07453440740995658
199,2021-10-18,62026.078125,0.0070157687846139
200,2021-10-19,64261.9921875,0.036047967727284067
